gene,normal_mean,normal_detection,normal_variance
CHI3L1,0.0013742696148409893,0.0028268551236749115,0.0011628405672923247
TIMP1,0.8131657023144877,0.6522968197879858,0.5209077594789073
IFITM1,0.1813623650079505,0.13621908127208482,0.28515504666376934
AGAP2,0.001224665832155477,0.0015901060070671379,0.0012285523356450746
ALDOA,0.5044714524584806,0.4895759717314488,0.3389086930971922
ALDOB,0.012672110733215548,0.018551236749116608,0.009774600678688428
AMT,0.008043024241166078,0.011130742049469965,0.007163276560519407
APRT,0.2275784153409894,0.2943462897526502,0.15408223935297805
ARHGDIB,0.040983572185512365,0.051413427561837456,0.03854946928439073
ARPC3,0.505002190393993,0.5339222614840989,0.28762378549209866
ATP5F1B,0.5327596951579505,0.5561837455830388,0.3007886551410557
ATP5MC2,0.6329982527077739,0.6053003533568905,0.35441124409249053
AURKB,0.0005207987332155477,0.0010600706713780918,0.0002709910144299254
BTF3,0.9291861203127209,0.7323321554770318,0.43310827720674494
BTG2,0.649911884171378,0.5134275618374559,0.5764733338522163
CD2,0.006487587346289753,0.008657243816254417,0.006078837560670319
CD52,0.018969169588339226,0.02120141342756184,0.021065963885535357
CDK2AP2,0.23515591391431093,0.29222614840989397,0.16990325876545873
CDK5R1,0.0013825405971731447,0.0024734982332155478,0.0013471394613245179
CEACAM5,0.01732285361837456,0.019964664310954065,0.018276328447328294
CHCHD2,0.7819356661236749,0.6895759717314488,0.3729617799407876
CLDN4,0.033530754367491165,0.03657243816254417,0.03682741817920243
CLIC1,0.5953597254766784,0.5627208480565371,0.3708034887296302
COL15A1,0.30380713305742046,0.3452296819787986,0.21958684465284506
COX6A1,0.706055367475265,0.6478798586572438,0.3773003567967007
CSTB,0.44816084703427567,0.4892226148409894,0.27836648853888546
CYCS,0.3040321729558304,0.3586572438162544,0.2136457986745968
DNAJA1,0.6248591429734983,0.5390459363957597,0.5192704327371367
EDF1,0.6527687481766784,0.6171378091872791,0.35006632609581506
EID1,0.9856764130035336,0.7664310954063605,0.4399873353500221
FABP1,0.08966624653798588,0.09081272084805654,0.10868726913909289
GABARAP,0.6948536265909894,0.581095406360424,0.45096808338829997
GIMAP4,0.00976101758303887,0.01342756183745583,0.008494062858151581
GIMAP7,0.01025444085689046,0.013074204946996466,0.00941990542531514
